InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
540496,21485,RETROSPOT HEART HOT WATER BOTTLE,4,2011-01-07 17:18:00,4.95,15485.0,United Kingdom
544684,22670,FRENCH WC SIGN BLUE METAL,1,2011-02-22 16:32:00,2.46,,United Kingdom
565234,21394,RED POLKADOT BEAKER ,2,2011-09-02 09:38:00,1.63,,United Kingdom
570287,22689,DOORMAT MERRY CHRISTMAS RED ,2,2011-10-10 11:37:00,8.25,17425.0,United Kingdom
554261,84033,FLAG OF ST GEORGE ,1,2011-05-23 12:32:00,1.65,16033.0,United Kingdom
537030,22586,FELTCRAFT HAIRBAND PINK AND BLUE,12,2010-12-03 16:44:00,0.85,16455.0,United Kingdom
580097,23020,GLASS  SONGBIRD STORAGE JAR,1,2011-12-01 14:58:00,12.5,14216.0,United Kingdom
570127,51014C,"FEATHER PEN,COAL BLACK",12,2011-10-07 13:17:00,0.39,16900.0,United Kingdom
577768,23495,SET OF 3 PANTRY WOODEN SPOONS,1,2011-11-21 15:18:00,2.46,,United Kingdom
552467,22993,SET OF 4 PANTRY JELLY MOULDS,24,2011-05-09 15:29:00,1.25,15249.0,United Kingdom
536464,22945,CHRISTMAS METAL TAGS ASSORTED ,6,2010-12-01 12:23:00,0.85,17968.0,United Kingdom
557019,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,1,2011-06-16 12:45:00,4.25,15907.0,United Kingdom
549906,22632,HAND WARMER RED RETROSPOT,1,2011-04-12 16:28:00,2.1,14998.0,United Kingdom
541269,20665,RED RETROSPOT PURSE ,6,2011-01-17 11:01:00,2.95,12626.0,Germany
569406,21306,SET/4 DAISY MIRROR MAGNETS,24,2011-10-04 09:09:00,0.29,16253.0,United Kingdom
569336,23542,70'S ALPHABET WALL ART,2,2011-10-03 14:05:00,8.25,15088.0,United Kingdom
573330,22898,CHILDRENS APRON APPLES DESIGN,1,2011-10-30 11:22:00,1.95,16923.0,United Kingdom
578993,23084,RABBIT NIGHT LIGHT,4,2011-11-27 15:38:00,2.08,15987.0,United Kingdom
