ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0890154570,"A century of class: Public education in Dallas, 1884-1984",Rose-Mary Rumbley,1984,Eakin Press,http://images.amazon.com/images/P/0890154570.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0890154570.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0890154570.01.LZZZZZZZ.jpg
0517121522,Vegetarian Baby &amp; Child: Recipes and Practical Advice for Raising a Healthy Child,Petra Jackson,1995,Random House Value Publishing,http://images.amazon.com/images/P/0517121522.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0517121522.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0517121522.01.LZZZZZZZ.jpg
0310220068,Boomerang Joy,Barbara Johnson,1998,Zondervan,http://images.amazon.com/images/P/0310220068.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0310220068.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0310220068.01.LZZZZZZZ.jpg
0915811324,"Understand Your Dreams: 1,001 Basic Dream Images and How to Interpret Them",Alice Anne Parker,1991,H.J. Kramer,http://images.amazon.com/images/P/0915811324.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0915811324.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0915811324.01.LZZZZZZZ.jpg
0451144384,Lord Abberley's Nemesis (Signet Regency Romance),Amanda Scott,1994,New Amer Library (Mm),http://images.amazon.com/images/P/0451144384.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451144384.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451144384.01.LZZZZZZZ.jpg
0425081745,Anderson Tapes,Lawrence Sanders,1985,Penguin Putnam~mass,http://images.amazon.com/images/P/0425081745.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425081745.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425081745.01.LZZZZZZZ.jpg
1400032520,The Blood Doctor : A Novel (Vintage Crime/Black Lizard),BARBARA VINE,2003,Vintage,http://images.amazon.com/images/P/1400032520.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1400032520.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1400032520.01.LZZZZZZZ.jpg
0140245480,The Red Queen: Sex and the Evolution of Human Nature,Matt Ridley,1995,Penguin (Non-Classics),http://images.amazon.com/images/P/0140245480.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140245480.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140245480.01.LZZZZZZZ.jpg
1574530011,Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,1998,Audio Literature,http://images.amazon.com/images/P/1574530011.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1574530011.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1574530011.01.LZZZZZZZ.jpg
0449006034,Almost Perfect (McCloud Brothers),Patricia Rice,2002,Ivy Books,http://images.amazon.com/images/P/0449006034.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449006034.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449006034.01.LZZZZZZZ.jpg
0345440633,Dave Barry's Complete Guide to Guys,Dave Barry,2000,Ballantine Books,http://images.amazon.com/images/P/0345440633.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345440633.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345440633.01.LZZZZZZZ.jpg
0385503636,At the Altar of Speed: The Fast Life and Tragic Death of Dale Earnhardt,LEIGH MONTVILLE,2001,Doubleday,http://images.amazon.com/images/P/0385503636.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385503636.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385503636.01.LZZZZZZZ.jpg
0878579710,"High-Speed Healing: The Fastest, Safest and Most Effective Shortcuts to Lasting Relief",Prevention Magazine Health Books,1991,St Martins Pr,http://images.amazon.com/images/P/0878579710.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0878579710.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0878579710.01.LZZZZZZZ.jpg
031286972X,Dark Ladies,Fritz Leiber,1999,Tor Books,http://images.amazon.com/images/P/031286972X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/031286972X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/031286972X.01.LZZZZZZZ.jpg
0590956248,The Best Easter Egg Hunt Ever (Read With Me Paperbacks),John Speirs,1997,Cartwheel Books,http://images.amazon.com/images/P/0590956248.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590956248.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590956248.01.LZZZZZZZ.jpg
2266118102,"Avant Dune, tome 1 : La Maison des AtreÃ?Â¯des",Brian Herbert,2002,Press Pocket,http://images.amazon.com/images/P/2266118102.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2266118102.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2266118102.01.LZZZZZZZ.jpg
2070319555,Poesies. Une saison en enfer. Illuminations.,Arthur Rimbaud,1984,Schoenhofs Foreign Books,http://images.amazon.com/images/P/2070319555.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2070319555.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2070319555.01.LZZZZZZZ.jpg
0060094095,"Air Battle Force (Brown, Dale)",Dale Brown,2003,William Morrow,http://images.amazon.com/images/P/0060094095.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060094095.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060094095.01.LZZZZZZZ.jpg
0749919531,Say No to Cancer: Optimum Nutrition Handbook (Optimum Nutrition Handbook),Patrick Holford,1999,Judy Piatkus Publishers Ltd,http://images.amazon.com/images/P/0749919531.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0749919531.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0749919531.01.LZZZZZZZ.jpg
0590403737,Miami Mice,Jovial Bob Stine,1986,Scholastic Paperbacks (T),http://images.amazon.com/images/P/0590403737.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590403737.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590403737.01.LZZZZZZZ.jpg
0752224433,"The Women of \Coronation Street\""""",Daran Little,1998,Pan Macmillan,http://images.amazon.com/images/P/0752224433.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0752224433.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0752224433.01.LZZZZZZZ.jpg
0312118996,The Things That Matter: An Anthology of Women's Spiritual Poetry,Julia Neuberger,1995,St Martins Pr,http://images.amazon.com/images/P/0312118996.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312118996.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312118996.01.LZZZZZZZ.jpg
1879323559,Myths of the Family (Sound Horizons Presents),James Hillman,1997,Sound Horizons Audio-Video,http://images.amazon.com/images/P/1879323559.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1879323559.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1879323559.01.LZZZZZZZ.jpg
8408022296,El peregrino de Compostela,Paulo Coelho,1997,"Editorial Planeta, S.A. (Barcelona)",http://images.amazon.com/images/P/8408022296.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8408022296.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8408022296.01.LZZZZZZZ.jpg
0374480133,Tuck Everlasting,Natalie Babbitt,2002,Sunburst,http://images.amazon.com/images/P/0374480133.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374480133.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374480133.01.LZZZZZZZ.jpg
0140054316,Tempest Tost,Robertson Davies,1980,Viking Press,http://images.amazon.com/images/P/0140054316.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140054316.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140054316.01.LZZZZZZZ.jpg
1875989285,How To Be a Man,John Birmingham,2000,Duffy &amp; Snellgrove,http://images.amazon.com/images/P/1875989285.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1875989285.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1875989285.01.LZZZZZZZ.jpg
0375702369,The World and Other Places: Stories,Jeanette Winterson,2000,Vintage Books USA,http://images.amazon.com/images/P/0375702369.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375702369.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375702369.01.LZZZZZZZ.jpg
0441370594,The Infinity Concerto,Greg Bear,1987,Ace Books,http://images.amazon.com/images/P/0441370594.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441370594.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441370594.01.LZZZZZZZ.jpg
0723248273,Flower-Fairies of the Summer (Flower Fairies Collection),Cicely Mary Barker,2002,Frederick Warne and Company Inc,http://images.amazon.com/images/P/0723248273.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0723248273.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0723248273.01.LZZZZZZZ.jpg
0553477757,The Clinic,Jonathan Kellerman,1997,Random House Audio,http://images.amazon.com/images/P/0553477757.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553477757.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553477757.01.LZZZZZZZ.jpg
0441711561,"The Ring of Ikribu (Red Sonja, #1)",David C. Smith,1981,Penguin Putnam~mass,http://images.amazon.com/images/P/0441711561.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441711561.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441711561.01.LZZZZZZZ.jpg
0844296473,Chicago's Best-Kept Secrets,Mike Michaelson,1996,McGraw-Hill,http://images.amazon.com/images/P/0844296473.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0844296473.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0844296473.01.LZZZZZZZ.jpg
0373245033,Her baby secret  (baby times three),Victoria Pade,2002,Silhouette,http://images.amazon.com/images/P/0373245033.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373245033.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373245033.01.LZZZZZZZ.jpg
0553294520,"Almost Perfect (Sweet Dreams, No 190)",Linda Joy Singleton,1992,Bantam Books for Young Readers,http://images.amazon.com/images/P/0553294520.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553294520.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553294520.01.LZZZZZZZ.jpg
0878423001,The Sternberg Fossil Hunters: A Dinosaur Dynasty,Katherine Rogers,1991,Mountain Pr,http://images.amazon.com/images/P/0878423001.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0878423001.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0878423001.01.LZZZZZZZ.jpg
0525943005,The Dean Witter Guide to Personal Investing,Robert M. Gardiner,1997,Dutton Books,http://images.amazon.com/images/P/0525943005.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525943005.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525943005.01.LZZZZZZZ.jpg
067178644X,Taboo,Elizabeth Gage,1993,Pocket Books,http://images.amazon.com/images/P/067178644X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067178644X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067178644X.01.LZZZZZZZ.jpg
0312190301,A Cab Called Reliable : A Novel About Growing Up In America,Patti Kim,1998,St. Martin's Griffin,http://images.amazon.com/images/P/0312190301.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312190301.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312190301.01.LZZZZZZZ.jpg
0679442405,Traveling Mercies: Some Thoughts on Faith,Anne Lamott,1999,Random House Inc,http://images.amazon.com/images/P/0679442405.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679442405.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679442405.01.LZZZZZZZ.jpg
0571220347,101 Poems Against War,Matthew Hollis,2003,Faber and Faber Ltd,http://images.amazon.com/images/P/0571220347.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0571220347.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0571220347.01.LZZZZZZZ.jpg
0373167016,"In Papa Bear'S Bed (Once Upon A Kiss) (Harlequin American Romance, No 701)",Judy Christenberry,1997,Harlequin,http://images.amazon.com/images/P/0373167016.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373167016.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373167016.01.LZZZZZZZ.jpg
0307061140,Walt Disney's Bambi: Count to Five (Golden Board Book),Diane Muldrow,1991,Random House Childrens Books,http://images.amazon.com/images/P/0307061140.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0307061140.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0307061140.01.LZZZZZZZ.jpg
013032986X,Operating Systems,William Stallings,2000,Pearson Higher Education,http://images.amazon.com/images/P/013032986X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/013032986X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/013032986X.01.LZZZZZZZ.jpg
9561308924,Trece Casos Misteriosos,Jacqueline Balcells,1997,Andres Bello,http://images.amazon.com/images/P/9561308924.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/9561308924.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/9561308924.01.LZZZZZZZ.jpg
0060540117,The Saint of Dragons,Jason Hightman,2004,Eos,http://images.amazon.com/images/P/0060540117.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060540117.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060540117.01.LZZZZZZZ.jpg
3478083338,Warum bin ich eigentlich nicht glÃ?Â¼cklich?.Wege zu einem richtig guten Leben,Werner Krag,2003,UEBERREUTER WIRTSCHAFT,http://images.amazon.com/images/P/3478083338.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3478083338.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3478083338.01.LZZZZZZZ.jpg
0877790329,Webster's dictionary of English usage,Merriam-Webster,1989,Merriam-Webster,http://images.amazon.com/images/P/0877790329.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0877790329.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0877790329.01.LZZZZZZZ.jpg
0316329940,A Letter for Daria,Ekaterina Gordeeva,1998,Little Brown &amp; Co,http://images.amazon.com/images/P/0316329940.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316329940.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316329940.01.LZZZZZZZ.jpg
0761121382,Teenagers Learn What They Live: Parenting to Inspire Integrity &amp; Independence,Dorothy Law Nolte,2003,Workman Publishing,http://images.amazon.com/images/P/0761121382.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0761121382.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0761121382.01.LZZZZZZZ.jpg
0312957769,Dark Tide,William P. Kennedy,1996,St. Martin's Press,http://images.amazon.com/images/P/0312957769.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312957769.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312957769.01.LZZZZZZZ.jpg
0345424603,The Masterharper of Pern (Dragonriders of Pern (Paperback)),Anne McCaffrey,1999,Del Rey Books,http://images.amazon.com/images/P/0345424603.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345424603.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345424603.01.LZZZZZZZ.jpg
0060166665,City of the Mind,Penelope Lively,1991,HarperCollins Publishers,http://images.amazon.com/images/P/0060166665.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060166665.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060166665.01.LZZZZZZZ.jpg
0452283205,Falling Angels,Tracy Chevalier,2002,Plume Books,http://images.amazon.com/images/P/0452283205.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452283205.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452283205.01.LZZZZZZZ.jpg
0671499823,ROGUE,Janet Dailey,1983,Pocket,http://images.amazon.com/images/P/0671499823.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671499823.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671499823.01.LZZZZZZZ.jpg
0373221460,"Diamond Of Deceit (Harlequin Intrigue, No 146)",M.L. Gamble,1990,Harlequin,http://images.amazon.com/images/P/0373221460.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373221460.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373221460.01.LZZZZZZZ.jpg
0312929013,The Western Trail (The Trail Drive),Ralph Compton,1992,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312929013.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312929013.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312929013.01.LZZZZZZZ.jpg
0812538773,The Trinity Factor,Sean Flannery,2001,Forge,http://images.amazon.com/images/P/0812538773.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812538773.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812538773.01.LZZZZZZZ.jpg
0451407229,In the Cut,Susanna Moore,1996,Onyx Books,http://images.amazon.com/images/P/0451407229.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451407229.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451407229.01.LZZZZZZZ.jpg
0843944587,Broken Vows,Shirl Henke,2003,Leisure Books,http://images.amazon.com/images/P/0843944587.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843944587.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843944587.01.LZZZZZZZ.jpg
0670031100,Mutants: On Genetic Variety and the Human Body,Armand Marie Leroi,2003,Viking Books,http://images.amazon.com/images/P/0670031100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670031100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670031100.01.LZZZZZZZ.jpg
0140032738,English Eccentrics a Gallery of Weird,Edith Sitwell,0,Penguin Putnam~trade,http://images.amazon.com/images/P/0140032738.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140032738.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140032738.01.LZZZZZZZ.jpg
2082102858,"Tous \Sublimes\"" : Vers un nouveau plein-emploi""",Bernard Gazier,2003,Flammarion,http://images.amazon.com/images/P/2082102858.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2082102858.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2082102858.01.LZZZZZZZ.jpg
1594140669,The Astonished Eye (Five Star Speculative Fiction),Tracy Knight,2003,Five Star (ME),http://images.amazon.com/images/P/1594140669.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1594140669.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1594140669.01.LZZZZZZZ.jpg
1551664410,Third Choice (Jackie Kaminsky Mysteries),Margot Dalton,1998,Mira,http://images.amazon.com/images/P/1551664410.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551664410.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551664410.01.LZZZZZZZ.jpg
1556615191,Can I Control My Changing Emotions?: Answers to Questions Women Ask About Their Moods (Answers to Questions Women Ask),Annie Chapman,1994,Baker Pub Group,http://images.amazon.com/images/P/1556615191.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1556615191.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1556615191.01.LZZZZZZZ.jpg
1583483810,Random Walk,Lawrence Block,2000,Backinprint.com,http://images.amazon.com/images/P/1583483810.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1583483810.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1583483810.01.LZZZZZZZ.jpg
0060903538,Psychic Massage (Harper colophon books ; CN 353),Roberta DeLong Miller,1975,Harpercollins,http://images.amazon.com/images/P/0060903538.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060903538.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060903538.01.LZZZZZZZ.jpg
0671781812,HOLLYWOOD HORROR (NANCY DREW HARDY BOY SUPERMYSTERY ) : HOLLYWOOD HORROR (Nancy Drew &amp; Hardy Boys Super Mysteries (Paperback)),Carolyn Keene,1994,Simon Pulse,http://images.amazon.com/images/P/0671781812.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671781812.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671781812.01.LZZZZZZZ.jpg
0553071769,A Dark and Hungry God Arises: The Gap into Power (Gap),Stephen R. Donaldson,1992,Bantam Dell Pub Group,http://images.amazon.com/images/P/0553071769.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553071769.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553071769.01.LZZZZZZZ.jpg
0609602748,French Complete Course (Living Language Complete Courses. Cassette Edition),Living Language,1998,Living Language,http://images.amazon.com/images/P/0609602748.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609602748.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609602748.01.LZZZZZZZ.jpg
1551667231,The Last Cheerleader,Meg O'Brien,2003,Mira,http://images.amazon.com/images/P/1551667231.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551667231.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551667231.01.LZZZZZZZ.jpg
0472100947,The Attraction of Opposites : Thought and Society in the Dualistic Mode,David Maybury-Lewis,1989,UMP,http://images.amazon.com/images/P/0472100947.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0472100947.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0472100947.01.LZZZZZZZ.jpg
0140506322,Too many books! (Picture puffins),Caroline Feller Bauer,1986,Puffin Books,http://images.amazon.com/images/P/0140506322.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140506322.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140506322.01.LZZZZZZZ.jpg
0060199415,"Someone to Watch over Me: A Grace &amp; Favor Mystery (Churchill, Jill, Grace and Favor Series,)",Jill Churchill,2001,William Morrow &amp; Company,http://images.amazon.com/images/P/0060199415.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060199415.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060199415.01.LZZZZZZZ.jpg
0312244428,Encyclopedia of Hell,Miriam Van Scott,1999,St. Martin's Press,http://images.amazon.com/images/P/0312244428.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312244428.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312244428.01.LZZZZZZZ.jpg
0773729941,Black In the Saddle Again,Arthur Black,0,Stoddart+publishing,http://images.amazon.com/images/P/0773729941.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0773729941.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0773729941.01.LZZZZZZZ.jpg
0765308924,Grudge Match : A Chris Sinclair Novel (Chris Sinclair),Jay Brandon,2004,Forge Books,http://images.amazon.com/images/P/0765308924.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0765308924.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0765308924.01.LZZZZZZZ.jpg
0373089961,"Marriage Scheme (Silhouette Romance, No 996)",Carla Cassidy,1994,Silhouette,http://images.amazon.com/images/P/0373089961.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373089961.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373089961.01.LZZZZZZZ.jpg
0935576460,The Essential Guide to Wilderness Camping and Bakpbacking in the United States,Charles Cook,1994,M. Kesend Pub.,http://images.amazon.com/images/P/0935576460.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0935576460.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0935576460.01.LZZZZZZZ.jpg
0922066779,Dare to Dream/Tragedy and Triumph: The Heroic Struggle of an Olympic Champion,Tim Daggett,1992,Baker Pub Group,http://images.amazon.com/images/P/0922066779.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0922066779.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0922066779.01.LZZZZZZZ.jpg
0440428610,The Ghost Belonged to Me,Richard Peck,1994,Yearling Books,http://images.amazon.com/images/P/0440428610.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440428610.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440428610.01.LZZZZZZZ.jpg
