original_title,overview,genres,tagline,keywords,directors,cast,poster_path,status,spoken_languages,averageRating
Jesse James vs. the Daltons,"Joe Branch, reputed to be the son of Jesse James, comes riding into Coffeyville Kansas, looking for proof one way or the other regarding the question of who his father was.",Western,THE LAST BRAWLING DAYS OF THE LAWLESS WEST in 3D!,"kansas, usa, dalton gang",William Castle,"Brett King, Barbara Lawrence, James Griffith, William Phipps, John Cliff, Rory Mallinson, William Tannen, Richard Garland, Nelson Leigh, Raymond Largay",/teAHHFMcAYsdvuEPZOtNosxm127.jpg,Released,English,5.0
Rosso sangue,"A priest-doctor chasing a man with supernatural regenerative abilities, who has recently escaped from a medical lab, reaches a small town where the mutant goes on a killing spree.",Horror,Pray you survive the hunt.,"monster, parent child relationship, sadism, murder, priest, serial killer, slasher, cannibal, death, psycho killer, video nasty",Joe D'Amato,"George Eastman, Annie Belle, Charles Borromel, Katya Berger, Kasimir Berger, Hanja Kochansky, Ian Danby, Ted Rusoff, Edmund Purdom, Cindy Leadbetter",/iFmnOINa3hB33W9LuBAMQsLGqiF.jpg,Released,Italian,5.3
Hold 'Em Navy,Two football players fight over the same girl.,Drama,The Middies March To Glory In Football And Romance!,american football,Kurt Neumann,"Lew Ayres, Mary Carlisle, John Howard, Benny Baker, Elizabeth Patterson, Archie Twitchell, Lambert Rogers, Lee Bennett, Alston Cockrell, Tully Marshall",/sNPbOiy2A3rJVUEryFVJtY9GWrR.jpg,Released,English,6.1
Who You Gonna Call?,"Filmmaker Fran Strine explores the riveting true story of the man who wrote and recorded the global smash hit song “Ghostbusters,” which became a universally recognized pop culture classic.",Documentary,A Portrait of Ray Parker Jr.,"ghostbuster, music documentary",Fran Strine,"Ray Parker, Jr., Stevie Wonder, Bobby Brown",/cCCppsjAYRZDqobLYhb2len78AU.jpg,Released,English,7.6
Wonderwall,"The eccentric professor Collins lives completely secluded in his chaotic apartment. When the model Penny moves in next to him, he becomes fascinated by her. He drills holes in her walls and ceiling and peeps on her day and night. He loses himself in daydreams and delusions.","Drama, Romance",Let your mind wonder...,surrealism,Joe Massot,"Jack MacGowran, Jane Birkin, Irene Handl, Richard Wattis, Iain Quarrier, Beatrix Lehmann, Brian Walsh, Sean Lynch, Bee Duffell, Noel Trevarthen",/ms6RGdU5z59WFkKg732718YIA8x.jpg,Released,English,5.6
남쪽으로 튀어,"Hae-gap is a director who makes anti-government documentary films. One day, Hae-gap’s son, Na-ra, runs away from home, but Man-deok, a freeloader living in Hae-gap’s house ends up bringing him back. Later, Man-deok raids the head developer of Deul Island to stop its exploitation, and Na-ra helps and ends up getting caught. In order to bring Na-ra out from jail, Hae-gap signs to stop making anti-government films and moves to Deul Island with his family. Na-ra sees his father leading a good, quiet life there and starts opening up. But when a construction company charges in to clear-out the island and the islanders fall at risk of losing their homes, Hae-gap leads a strike against it and his family fall in grave danger...",Comedy,The Man Who Stood Up When No One Could,woman director,Soon-rye Yim,"Kim Yun-seok, Oh Yeon-soo, Han Yeri, Baek Seung-hwan, Park Sa-rang, Kim Sung-kyun, Kim Tae-hun, Lee Jun-hyeok, Yoo Jae-myung, Lee Do-gyeong",/uCW3SpoMPc6vLB1HNuaFxzgFwt8.jpg,Released,Korean,6.5
Trouble x2,"On his first day back in the dating game, Nick meets not one but TWO beautiful women. Olivia (Abigail Mac) is hot, sexy, and confident. Jenny (Cherie DeVille) is sweet, smart and funny. Not in a rush, he takes his time casually dating them both. Finally Nick knows he must make a choice but how does he choose between two perfect women that adore him? Before he has a chance to decide, however, Nick finds himself in a lot of trouble! The one thing he did not know about Olivia and Jenny is that they were friends. Things come to an explosive head when they discover they've been dating the same man. Will there be any way to salvage their relationships or will all three be forced to go separate ways?",Romance,Let the carnage begin...,"missionary, fetish, restaurant, blow job, girlfriend, rivalry, breast, spoon, park, couple, cowgirl, cunnilingus, facial, feet, handjob, butt, doggystyle, outdoor, indoor",Stormy Daniels,"Abigail Mac, Cherie DeVille, Ryan Driller, Charlotte Cross, Britney Amber, Damon Dice, Jack Vegas, Michael Vegas",/4mC1WQFTcgN1JO8g9dsaKD45Zcj.jpg,Released,English,5.3
Exam,The final candidates for a highly desirable corporate job are locked together in an exam room and given a test so simple and confusing that tension begins to unravel.,"Thriller, Mystery",How far would you go to win the ultimate job?,"gun, room, guard, suspicion, pill, psychologist, disease, interrogation, candidate, narcissist, corporation, pandemic, rules",Stuart Hazeldine,"Luke Mably, Chukwudi Iwuji, Adar Beck, Jimi Mistry, Nathalie Cox, Pollyanna McIntosh, Gemma Chan, John Lloyd Fillingham, Colin Salmon, Chris Carey",/i1J2zBCyOQJKsQipqJ0qXERC1Ma.jpg,Released,"Cantonese, English, French",6.7
Anka,"A fairy tale set in the bucolic countryside of Central Europe at the turn of the 20th century. Anka, an orphan girl, bravely sets off in the pursuit of a home, facing the hardships of life, and ultimately finds her place with the help of a magical world and its mysterious creatures.","Adventure, Family, Fantasy, Romance",World is much bigger then you can imagine,"based on children's book, children's book",Dejan Acimovic,"Cvita Viljač, Éric Cantona, Anđela Ramljak, Linda Begonja, Goran Grgić, Nikola Kojo, Vuk Kostić, Rade Šerbedžija, Denis Brižić, Mate Gulin",/qEcsFEwdmFOHsmAR8CbabUkOX1b.jpg,Released,Croatian,5.5
Just Across the Street,A plumber's secretary poses as the daughter of a prominent society couple.,Comedy,They did it for LAUGHS!..and a little lovin' too!,"plumber, secretary",Joseph Pevney,"Ann Sheridan, John Lund, Robert Keith, Cecil Kellaway, Harvey Lembeck, Natalie Schafer, Alan Mowbray, Billie Bird, George Eldredge",/mcWKvSgqFMJeHlk7kAupDQKowKG.jpg,Released,English,6.6
Unearthly Stranger,"A series of scientists working on a new techology to facilitate man's conquest of space are killed in mysterious circumstances. Suspicion falls on the wife of another scientist on the project, who may not be what she seems.",Science Fiction,Terrifying - Weird… Macabre! Unseen things out of Time and Space!,"scientist, sleeping with eyes open",John Krish,"John Neville, Philip Stone, Gabriella Licudi, Patrick Newell, Jean Marsh, Warren Mitchell",/AnhW4rBAvPnEb4CDaWOf5zzmVeK.jpg,Released,English,6.4
Hobbyhorse Revolution,"A film about teenagers with growing pains, who discover their own voice and talent through riding and grooming toy horses.",Documentary,Never stop doing what you love,woman director,Selma Vilhunen,"Mariam ""Aisku"" Njie, Elsa Salo, Alisa Aarniomäki",/297hQ6ZZV7PDuGLdYSlrrRmf5Kw.jpg,Released,Finnish,6.9
Maisie,"Wisecracking showgirl Maisie Ravier finds herself trapped in a Wyoming town when her new employer closes the show prematurely. She meets ranch foreman Charles ""Slim"" Martin when he accuses her of lifting his wallet and ends up being hired as a maid for ranch owners Cliff and Sybil, who are attempting to mend their rocky marriage after Sybil's infidelity with a cowboy.","Comedy, Drama",Maisie is the surprise picture of the season!,maisie ravier,Edwin L. Marin,"Robert Young, Ann Sothern, Ruth Hussey, Ian Hunter, Cliff Edwards, John Hubbard, Art Mix, George Tobias, Richard Carle, Minor Watson",/t0tK68JCXqDHQWhibAKe00puJQ5.jpg,Released,English,6.6
Life with Mikey,"Michael Chapman, a former child TV star, runs a struggling talent agency specilizing in child acts. When a young girl off the street puts on a real performance after he catches her picking his pocket, he may have just found the next big thing.","Comedy, Family",He's a talent agent. She's a thief. Looks like they've already got something in common.,"new york city, casting agent, tv commercial, child star, precocious child, talent agent, christmas",James Lapine,"Michael J. Fox, Christina Vidal, Nathan Lane, Victor Garber, David Krumholtz, Cyndi Lauper, David Huddleston, Frances Chaney, Kathryn Grody, Mary Alice",/dKsvF5t5xsm17HG3GJzQQGJpJzP.jpg,Released,English,5.7
Headline Hunters,A rookie reporter in pursuit of an expose gets tangled up with big-time mobsters.,"Action, Adventure, Crime",As Shocking as an EXTRA!,"reporter, newspaper man",William Witney,"Rod Cameron, Julie Bishop, Ben Cooper, Raymond Greenleaf, Chubby Johnson, John Warburton, Nacho Galindo, Virginia Carroll, Howard Wright, Stuart Randall",/pBZ8mh9bc20Brpth6mvKUuw7g7Z.jpg,Released,English,5.3
Bombay Mail,"In India, a police inspector investigates a murder that took place on a train between Calcutta and Bombay.",Drama,MURDER . . . on the Bombay Express! Who did it? Who will be next?,"murder, india",Edwin L. Marin,"Edmund Lowe, Ralph Forbes, Shirley Grey, Hedda Hopper, Onslow Stevens, Jameson Thomas, Ferdinand Gottschalk, Tom Moore, John Wray, John Davidson",/c1fCIk3Qu8HrwOIXjaeOW8fNba6.jpg,Released,English,6.7
Hustler White,"A writer, researching a book on male prostitutes, finds a young man to serve as a guide on the streets of Los Angeles.","Romance, Comedy",See it with someone you've paid for,"research, fetish, tourist, hollywood, prostitution, porn industry, softcore, bdsm, amputee, gay pornography, serendipity, gay theme","Rick Castro, Bruce LaBruce","Tony Ward, Kevin P. Scott, Ivar Johnson, Kevin Kramer, Alex Austin, Ron Athey, Glen Meadmore, Graham David Smith, Miles H. Wildecock II, Barry Morse",/2WknPwuZVydxvlOCmKLCboQdg2q.jpg,Released,English,5.8
Miss March,A young man awakens from a four-year coma to hear that his once virginal high-school sweetheart has since become a centerfold in one of the world's most famous men's magazines. He and his sex-crazed best friend decide to take a cross-country road trip in order to crash a party at the magazine's legendary mansion headquarters and win back the girl.,"Comedy, Romance","After four years in a coma, Eugene Pratt is going to be reunited with his high school sweetheart... on pages 95-97.","first time, virgin, road trip, playboy, duringcreditsstinger","Zach Cregger, Trevor Moore","Trevor Moore, Raquel Alessi, Molly Stanton, Craig Robinson, Hugh Hefner, Carla Jimenez, Cedric Yarbrough, Geoff Meed, Slade Pearce, Remy Thorne",/cWjaFmJ2pjMcWeKh00PJ3zOBMOq.jpg,Released,English,5.0
Urban Country,"A young, troubled city girl decides to move to her family owned horse ranch in a small, southern town for the summer to care for her dying mother.","Comedy, Drama, Family",Faith will find a way.,"coming of age, horse ranch",Teddy Smith,"Brighton Sharbino, Lou Diamond Phillips, Jason London, Candice Michele Barley, Dean J. West, C. Thomas Howell, Arthur Marroquin, Keon Motakhaveri, Tanner Fontana, Marco St. John",/4j5XVlw856u9K5NS3XgKRs92ei7.jpg,Released,English,4.8
The Beautiful Truth,"A troubled 15-year-old boy attempting to cope with the recent death of his mother sets out to research Dr. Max Gerson's claims of a diet that can cure cancer as his first assignment for home-schooling in this documentary from filmmaker Steve Kroschel (Avalanche, Dying to Have Known).",Documentary,The world's simplest cure for cancer,"cancer, gerson therapy, terapia gerson",Steve Kroschel,"Charlotte Gerson, Jay Kordich, Garrett Kroschel, Howard Straus",/iNkZoyae0aogvGVeG5FudgyAYzQ.jpg,Released,English,6.9
In the Sweet Pie and Pie,The Stooges are convicts about to be executed for some murders they didn't commit. The day before the execution they are tricked into marrying three rich girls who need husbands to collect a legacy. At the last minute the real murderers confess and the stooges are pardoned. The girls are now stuck with the Stooges so they plot to get rid of them by making them become gentlemen. The girl's lawyer convinces them to throw a big party in the hope that the Stooges will humiliate them and they can get a divorce. The boys do just that as the party degenerates into a wild pie fight. But the girls decide to keep the stooges and give their lawyer the boot.,Comedy,CALL OUT THE LAUGH-RIOT SQUAD,"society matron, pie in the face, pie fight, pie throwing",Jules White,"Curly Howard, Larry Fine, Moe Howard, Dorothy Appleby, Mary Ainslee, Ethelreda Leopold, Vernon Dent, Al Thompson, Symona Boniface",/xpDSriKn6JKhDHkyUGi3ga88dL2.jpg,Released,English,7.9
Sunsplit,"As the California sun shines down from an Los Angeles sky, three unique individuals are about to collide in the most unexpected ways imaginable. Lyle is a psychotic serial killer who has formed a dangerous fixation on single mother and expert car thief Tess. As Lyle prepares to make his deadly move, widowed Greek Restaurant owner Shandor finds himself forced to take matters into his own hands when the law fails to protect and serve as promised.","Thriller, Drama",In the Tradition of Crash!,"car thief, vigilante, serial killer, los angeles, california, dream logic, serial rapist",Peter Daskaloff,"Lou Wagner, Ken Del Conte, LoriDawn Messuri, Robert Balderson, Sandra Purpuro, Virginia Capers, Ernest M. Garcia",/ySwQzSnthplYKkoIFPS3FZ2j59K.jpg,Released,English,5.8
Pandemonium,"Nathan and Daniel wake at the scene of a car crash, confused and seemingly unscathed. The two men begin to understand that they did not make it after all. Nathan’s past acts will now determine his fate, however reprehensible they may have been. He will have to leave this earthly world and enter the depths of Hell, where is confronted with other tormented souls and forced to experience their pain, too. Jeanne, a psychotic little girl whose parents are frightened as she is prone to violence; Julia, who spiralled out of control after her daughter’s suicide. But this is only the beginning…  From the creative mind of artist Quarxx, comes this aesthetically stunning and relentlessly macabre tale.",Horror,Hell knows no forgiveness...,"visions of hell, macabre, horror anthology",Quarxx,"Arben Bajraktaraj, Ophélia Kolb, Manon Maindivide, Hugo Dillon, Sidwell Weber, Jérôme Paquatte, Carl Laforêt",/xKZZN3aDsg6DZNnHZUDkTXKvMiA.jpg,Released,French,5.2
The Deepening,"A troubled N.Y. fireman suffers from PTSD after working the events of 9-11. Seeking a fresh start, he relocates to a small town. His nightmares, however, do not subside as the population of the town decreases.",Horror,Terror Comes in Any Shape,"post-traumatic stress disorder (ptsd), slasher, axe murder, fireman","Ted Alderman, Jim O'Rear","Jim O'Rear, Gunnar Hansen, Debbie Rochon, Ted Alderman, Debbie D, Jesse Zimmerman, Lee Vervoort, Maria Kil, Andrea Collins",/i5rrqcn5ol2Y7ApmpHOJH9Kjt9r.jpg,Released,English,4.3
Lost Command,"After being freed from a Vietnamese war prison, French Lt. Col. Pierre Raspeguy is sent to help quell resistance forces in Algeria. With the help of the Capt. Esclavier, who has grown weary of war, and Capt. Boisfeuras, who lives for it, Raspeguy attempts to convert a rugged band of soldiers into a formidable fighting unit, with the promise of marrying a beautiful countess if he's made a general.","Action, War",They lived and loved and fought across three continents !,"military history, french paratrooper",Mark Robson,"Anthony Quinn, Alain Delon, George Segal, Michèle Morgan, Maurice Ronet, Claudia Cardinale, Grégoire Aslan, Jean Servais, Maurice Sarfati, Jean-Claude Bercq",/gy5Xv7Xg6bHOX8mnhmXThyoa4d6.jpg,Released,English,6.3
Orgasmo,"Following the death of her wealthy husband, American widow Kathryn West migrates to Italy and takes up a reclusive existence in a luxurious villa. After quickly succumbing to the charms of a local man, she lets him move into the villa and the two are later joined by his sister, which soon leads to complications.","Drama, Romance, Thriller",Orgasmo sucks you into a whirlpool of erotic love!,"widow, paranoia, whodunit, exhibitionist",Umberto Lenzi,"Carroll Baker, Lou Castel, Colette Descombes, Tino Carraro, Lilla Brignone, Franco Pesce, Tina Lattanzi, Jacques Stany, Sara Simoni, Gaetano Imbró",/lu5t1Ckw2NVK8N5wbQSNBLYbsRk.jpg,Released,Italian,6.0
Lieutenant Jangles,"After losing his partner in a blazing gunfight, Australian renegade supercop Lieutenant Jangles goes on an explosive and blood-soaked mission to avenge his death… And maybe possibly also save Brisbane City from a sinister conspiracy involving kidnapped beefcakes. And he hangs dong.","Comedy, Crime, Action",Crime is a disease. Meet the condom.,"exploitation, cult, retro, 1980s, 80s throwback, aussie, grindsploitation",Nic Champeaux,"Matt Dickie, Tamara McLaughlin, Daniel Mulhall, Justin Gerardin, Jack McGirr, Harry Piaggio, Graham K. Furness, Gregory Kelly, Scott Young, James Topp",/s1Yni4dL4EKKDZtGRhQ5xcWRHwl.jpg,Released,"English, French, Spanish",5.7
காளை,"A man comes to the city, seeking revenge from another man for killing his grandmother. He begins to woo the man's daughter and when the time is right, abducts her and holds her hostage.",Action,There is no substitute,revenge,Tarun Gopi,"Silambarasan, Vedhika, Lal, Sangeetha Krish, Sulile Kumar, Seema, Meera Chopra, Santhanam, Mahat Raghavendra, Shanmugarajan",/uwz22tSrs7U9ua58sJrCFA91OFz.jpg,Released,"Hindi, Tamil",3.6
A la Medianoche y Media,"A huge wave is about to destroy the city. Many people leave in panic, only a few remain in the lonely streets. Among them are SEBASTIAN, a skeptical and irresolute young loner; ANA, a woman who seeks in others the passion she can’t live; and an apocalyptic GIRL. They turn the city into a games board where the stakes are love and the end of the world.",Science Fiction,"A games board, where the stakes are love and the end of the world.",woman director,"Mariana Rondón, Marité Ugas","Salvador del Solar, María Fernanda Ferro, Alfredo Limongi, Constanza Morales, Beatriz Valdés",/wtsmo6pz0tWX77xsHXdyQ5Km9g3.jpg,Released,Spanish,6.2
Money and the Woman,"An embezzler's wife begs his boss for forgiveness, only to fall in love with him.","Crime, Drama","Two Clues to a New Kind of Mystery, By the Man Who Wrote ""The Postman Always Rings Twice""!","bank, detective, investigation",William K. Howard,"Jeffrey Lynn, Brenda Marshall, John Litel, Lee Patrick, Henry O'Neill, Roger Pryor, Guinn ""Big Boy"" Williams, Henry Kolker, William Gould, Edward Keane",/ig03ZZfbvTmZ94PdTPhnJHqechm.jpg,Released,English,6.5
The Bandits of Corsica,Siamese twins separated at birth retain a psychic link; each feels the other's pain and happiness.,"Drama, Action",I'll take the island by storm . . . and the woman with it!,"based on novel or book, twins, 18th century, conjoined twins, corsica",Ray Nazarro,"Richard Greene, Paula Raymond, Raymond Burr, Dona Drake, Raymond Greenleaf, Lee Van Cleef, Frank Puglia, Nestor Paiva, Peter Mamakos, Paul Cavanagh",/l1C2wiSimCdWmnNHNHcBEcmmROQ.jpg,Released,English,5.3
Border River,"A Confederate officer travels to a wild Mexican border town to buy guns, aiming to keep up the fight against the Yankees - but who can he trust in this lawless place?",Western,They Had a Date With Destiny in the Powder-Keg of the West...ZONA LIBRE,confederate soldier,George Sherman,"Joel McCrea, Yvonne De Carlo, Pedro Armendáriz, Alfonso Bedoya, Howard Petrie, Renate Hoy, George J. Lewis, Nacho Galindo, Ivan Triesault, George D. Wallace",/o4gxYVrdNhUEmihqYB3pCRmy0J1.jpg,Released,English,6.0
Stop Making Sense,"A concert film documenting Talking Heads at the height of their popularity, on tour for their 1983 album ""Speaking in Tongues."" The band takes the stage one by one and is joined by a cadre of guest musicians for a career-spanning and cinematic performance that features creative choreography and visuals.","Music, Documentary",Why stop making sense? Why a movie? Why a big suit? Where do the odd movements come from? What will the band do next?,"concert, concert film, new wave, energetic",Jonathan Demme,"Chris Frantz, Jerry Harrison, Tina Weymouth, Ednah Holt, Lynn Mabry, Steven Scales, Alex Weir, Bernie Worrell",/uFMsMsk1NGo0QWs9IHknZVHSe4O.jpg,Released,English,8.7
Green Book,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.","Drama, Comedy",Inspired by a True Friendship,"friendship, southern usa, road trip, racism, pianist, driver, lgbt, road movie, music tour, 1960s, roadtrip, feel good",Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco, Dimiter D. Marinov, P.J. Byrne, Mike Hatton, Joe Cortese, Maggie Nixon, Von Lewis",/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,Released,"English, Italian, Russian",8.2
A Blind Bargain,"Chaney plays two roles: mad scientist Arthur Lamb and Lamb's ""experiment"", known only as the Ape Man. This hideous creature was the result of Lamb's attempts to transplant animal glands into human beings.","Drama, Horror, Mystery, Science Fiction","Robert dearly loved Angela, but alas! Too soon they have to part, for shortly he must leave her to fulfill a blind bargain with a mad genius of surgery!","mad doctor, silent film, lost film",Wallace Worsley,"Lon Chaney, Raymond McKee, Jacqueline Logan, Virginia True Boardman, Fontaine La Rue, Aggie Herring, Virginia Madison, Wallace Beery",/xBnjewU7w4G6UGlz0bSWCB0kXgN.jpg,Released,No Language,6.5
The Flight That Disappeared,"A cross-country airliner, whose passengers include a nuclear physicist, a rocket expert, and a mathematical genius, is drawn beyond radar range by an unknown, unbreakable force.","Science Fiction, Thriller",Jetliner Hijacked!,"aviation, nuclear bomb, scientist, air traffic control, plane",Reginald LeBorg,"Craig Hill, Paula Raymond, Dayton Lummis, John Bryant, Bernadette Hale, Nancy Hale, Brad Trumbull, Jerry James, Harvey Stephens, Meg Wyllie",/9K7TGSErMS8RCTlxCR5G9kFEarI.jpg,Released,English,5.8
Mystery Road,A murdered girl is found under a bridge on a remote road and indigenous detective Jay Swan gets the case. Jay finds that no-one is that interested in solving the murder of an indigenous teenager and he is forced to work alone.,"Thriller, Crime, Drama",Some roads lead to murder,"australia, detective, sniper rifle, outback, australian aboriginal, queensland, australia",Ivan Sen,"Aaron Pedersen, Hugo Weaving, Jack Thompson, Ryan Kwanten, Tony Barry, Bruce Spence, Damian Walshe-Howling, Tasma Walton, Robert Mammone, Samara Weaving",/vmcfuVKkXLwQqW6E9mq9wdUWyaZ.jpg,Released,English,6.7
Laboratory,Aliens kidnap a group of humans in order to perform experiments upon them.,Science Fiction,A Terrifying Experiment is About to Go Out of Control,"experiment, alien, alien abduction","Robert Emenegger, Allan Sandler","Martin Kove, Ken Washington, Camille Mitchell, Corinne Camacho, Garnett Smith, June Kim",/76jxbjyr7zdMH7qMP25GAXHKht3.jpg,Released,English,3.6
